Time,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12,Cell_13,Cell_14,Cell_15,Cell_16,Cell_17,Cell_18,Cell_19,Cell_20
0,797.13,1757.6,872.77,932.91,1216.3,798.44,1245.6,747.46,1157.6,1119.1,1156.1,916.21,1206.7,1046,1172.4,900.92,1230.7,631.29,743.8,731.58
600,854.43,1733.8,870.89,1116.1,1067,754.84,1081,852.01,1102.5,948.7,1061.5,998.19,1163.2,1093.6,1065.9,912.63,1132.4,594.44,669.27,754.67
1200,946.49,1663.2,868.71,1173.5,1018.4,649.64,1144.2,752.13,1146.9,993.83,914.63,917.5,1159.9,1245.6,959.16,926.11,1192.8,590.43,833.59,820.62
1800,958.74,1643.8,901,1213.6,975.83,817.86,1131.1,885.96,921.73,1068.4,817.04,902.18,1117.6,1170.7,734.82,884.57,1214,588.95,763.86,795.19
2400,1142.4,1650.9,1007.1,1067.3,1031.2,800.18,1176.9,967.44,837.85,1185.9,801.32,888.65,1326.9,1381.2,681.59,920.91,1225.6,611.29,805.37,777.37
3000,1299.5,1540.5,932.26,1207.6,951.81,804.46,1135.3,1049.8,858,1151.3,723.87,778.47,1132.2,1263.5,718.07,841.23,1191.8,672.48,893.71,867.92
3600,1361.9,1478.3,1017.6,995.16,906.91,781.47,1091.1,1100,850.66,1383.4,741.52,799.91,1408.4,1333.9,724.47,890.51,1183.6,673.84,895.45,682.95
4200,1361.6,1396.3,1146.9,951.58,822.2,767.47,1120.9,1140.6,946.22,1544.4,826.09,682.02,1290,1203.3,741.72,889.18,1098.6,767.27,808.37,881.33
4800,1423,1371.6,949.02,944.32,855.28,755.15,1075.7,1203.7,875.44,1480.9,802.71,708.21,1273.6,1293.4,840.6,910.06,1006.2,639.65,817.68,891.48
5400,1282,1218.4,1047.1,892.38,814.73,766.82,1125.8,1258.9,838.38,1500.8,753.86,676.59,1173.1,1276.3,824.63,1041.8,1076.7,698.98,896.75,941.24
